,All items,Food,Food at home,Food away from home,Energy,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences,Medical care services,Physicians' services,Hospital services,Transportation services,Motor vehicle maintenance and repair,Motor vehicle insurance,Airline fares
2013,100.0,13.891,8.187,5.704,9.046,77.063,19.71,3.437,3.559,1.673,1.704,1.01,0.703,57.353,32.029,6.977,23.9,5.847,1.579,1.78,5.571,1.153,2.213,0.742
2014,100.0,14.257,8.427,5.83,8.03,77.713,19.408,3.343,3.551,1.591,1.772,1.015,0.718,58.305,32.711,7.159,24.339,5.944,1.59,1.853,5.625,1.168,2.3,0.702
2015,100.0,14.015,8.23,5.785,6.816,79.169,19.613,3.101,3.742,2.101,1.806,0.958,0.655,59.556,33.15,7.733,24.227,6.569,1.681,2.19,5.876,1.167,2.379,0.669
2016,100.0,13.698,7.899,5.799,7.039,79.263,19.101,3.034,3.678,1.986,1.852,0.952,0.665,60.162,33.652,7.875,24.583,6.687,1.71,2.241,5.92,1.165,2.494,0.624
2017,100.0,13.384,7.382,6.002,7.513,79.103,19.849,3.018,3.805,2.402,1.748,0.974,0.651,59.254,32.843,7.823,23.747,6.924,1.755,2.3,5.926,1.123,2.352,0.691
2018,100.0,13.341,7.286,6.055,7.347,79.312,19.503,2.959,3.724,2.391,1.707,0.973,0.661,59.809,33.259,7.943,24.054,6.974,1.732,2.34,5.975,1.128,2.415,0.66
2019,100.0,13.771,7.579,6.191,6.706,79.524,20.137,2.81,3.734,2.533,1.643,1.023,0.587,59.387,33.158,7.792,24.071,7.19,1.811,2.186,5.399,1.077,1.701,0.786
2020,100.0,14.119,7.772,6.347,6.155,79.726,20.2,2.663,3.756,2.75,1.58,1.038,0.608,59.526,33.316,7.862,24.263,7.289,1.817,2.221,5.142,1.099,1.598,0.633
2021,100.0,13.37,8.165,5.205,7.348,79.282,21.699,2.458,4.105,4.143,1.524,0.889,0.526,57.583,32.946,7.398,24.251,6.962,1.9,2.199,5.599,1.038,2.383,0.481
2022,100.0,13.531,8.728,4.803,6.921,79.548,21.361,2.479,4.313,2.668,1.455,0.845,0.494,58.187,34.413,7.528,25.424,6.653,1.855,1.94,5.75,1.104,2.511,0.587
2023,100.0,13.555,8.167,5.388,6.655,79.79,18.891,2.512,3.684,2.012,1.489,0.854,0.542,60.899,36.191,7.671,26.769,6.515,1.828,1.987,6.294,1.233,2.794,0.751
