,All items,Food,Food at home,Food away from home,Energy,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences,Medical care services,Physicians' services,Hospital services,Transportation services,Motor vehicle maintenance and repair,Motor vehicle insurance,Airline fares
2013-12-01,234.719,238.182,234.318,245.3,245.733,235.759,147.423,128.577,146.042,152.457,335.662,236.113,888.682,289.49,266.228,271.22,273.957,458.658,357.05,270.492,282.523,263.081,426.488,314.891
2014-01-01,235.288,238.492,234.722,245.481,250.34,235.961,147.079,127.882,145.624,151.535,337.509,236.031,893.272,290.063,266.892,271.918,274.535,459.825,356.995,272.508,281.981,263.718,427.943,304.438
2014-02-01,235.547,239.408,235.781,246.187,249.925,236.185,146.857,127.279,145.625,150.718,338.846,235.68,895.579,290.59,267.481,272.461,275.131,460.879,356.943,274.422,282.418,264.523,429.044,302.328
2014-03-01,236.028,240.447,237.055,246.878,249.961,236.625,146.752,127.439,145.646,149.641,338.579,236.049,897.814,291.366,268.287,273.341,275.799,462.471,357.68,276.639,283.316,264.146,430.065,305.804
2014-04-01,236.468,241.241,237.942,247.534,249.864,237.072,146.786,127.475,145.986,149.217,340.115,236.273,900.247,292.062,268.923,274.255,276.381,463.308,358.116,277.319,284.251,264.508,433.387,307.536
2014-05-01,236.918,242.408,239.611,247.952,249.213,237.529,146.808,127.773,146.14,149.006,341.48,236.629,903.568,292.806,269.715,275.013,276.957,464.149,359.596,278.169,285.256,265.013,435.373,314.119
2014-06-01,237.231,242.646,239.682,248.445,249.714,237.837,146.895,127.982,146.099,148.921,343.429,236.853,907.885,293.271,270.149,275.819,277.49,464.649,358.492,278.739,285.874,265.656,436.665,314.699
2014-07-01,237.498,243.235,240.154,249.21,248.744,238.195,146.81,127.942,146.255,149.216,344.584,236.701,901.022,293.92,270.891,276.663,278.129,465.125,358.272,279.504,285.695,266.282,437.935,311.679
2014-08-01,237.46,243.792,240.692,249.801,245.699,238.405,146.691,127.357,146.464,149.472,344.142,238.198,902.049,294.35,271.493,277.319,278.694,465.546,359.774,279.621,285.611,266.129,439.072,309.923
2014-09-01,237.477,244.48,241.328,250.57,241.61,238.786,146.864,127.813,146.717,149.859,345.9,238.232,903.871,294.853,272.118,278.149,279.278,466.296,359.938,280.558,285.777,267.256,441.204,306.111
2014-10-01,237.43,244.866,241.62,251.1,237.061,239.191,146.931,127.761,146.928,148.954,346.426,238.126,908.819,295.479,272.73,278.797,279.905,467.008,360.193,281.342,287.239,268.094,443.947,307.357
2014-11-01,236.983,245.394,241.912,251.987,229.016,239.458,146.597,127.254,146.959,147.488,348.385,239.776,910.835,296.127,273.436,279.758,280.565,468.507,361.36,282.297,288.224,268.389,445.593,305.983
2014-12-01,236.252,246.237,242.893,252.628,218.536,239.584,146.316,126.637,146.886,145.83,351.841,239.018,914.604,296.555,273.997,280.383,281.063,469.971,362.076,284.121,287.5,268.588,446.969,301.037
2015-01-01,234.747,246.197,242.553,253.037,199.926,239.811,145.839,126.129,146.104,144.875,350.879,238.463,915.298,297.27,274.762,281.223,281.777,470.198,362.882,284.174,287.871,268.869,449.267,295.273
2015-02-01,235.342,246.495,242.598,253.719,203.021,240.172,146.064,125.96,146.316,147.264,352.412,238.671,919.003,297.702,275.47,282.171,282.535,469.241,361.032,284.111,288.461,269.136,452.757,293.524
2015-03-01,235.976,246.072,241.633,254.108,205.757,240.755,146.356,126.626,146.672,147.694,353.232,239.007,920.7,298.466,276.258,283.056,283.27,471.46,363.562,285.902,288.812,268.907,454.728,290.945
2015-04-01,236.222,246.002,241.106,254.727,203.577,241.346,146.49,126.39,147.024,148.404,353.849,238.938,921.202,299.347,277.003,283.786,284.061,475.195,364.611,290.566,288.928,269.948,456.734,285.424
2015-05-01,237.001,246.239,241.107,255.322,208.973,241.688,146.502,125.831,147.327,149.29,355.061,239.665,925.102,299.91,277.524,284.559,284.712,475.984,364.914,291.978,289.96,270.764,457.469,293.265
2015-06-01,237.657,246.937,241.922,255.846,212.015,242.064,146.339,125.51,147.489,149.48,354.805,239.297,929.288,300.662,278.284,285.477,285.668,475.516,366.044,289.186,290.914,270.981,458.587,298.839
2015-07-01,238.034,247.157,242.25,255.905,211.623,242.565,146.21,125.689,147.462,149.078,355.071,239.546,933.086,301.553,279.329,286.435,286.463,476.271,367.412,289.198,291.671,271.175,461.665,294.099
2015-08-01,238.033,247.742,242.864,256.449,208.579,242.817,146.044,126.166,147.41,148.295,354.906,239.789,936.832,302.054,279.921,287.32,287.106,475.865,366.42,289.324,291.638,270.838,462.985,291.307
2015-09-01,237.498,248.492,243.198,257.83,197.246,243.316,146.142,126.011,147.611,147.554,355.558,239.645,938.333,302.814,280.737,288.385,287.882,477.038,367.313,289.97,291.907,271.119,465.511,287.452
2015-10-01,237.733,248.755,243.284,258.363,195.616,243.768,145.888,125.323,147.481,146.397,355.954,240.502,940.157,303.738,281.429,289.236,288.538,481.074,367.071,295.849,292.578,271.804,465.078,291.034
2015-11-01,238.017,248.525,242.606,258.805,195.114,244.241,145.723,125.724,147.466,144.85,357.033,240.531,943.905,304.599,282.129,289.953,289.169,482.778,371.024,295.481,294.481,272.09,470.425,293.715
2015-12-01,237.761,248.206,241.88,259.097,190.143,244.547,145.624,126.042,147.272,143.955,356.956,240.275,947.371,305.219,282.779,290.723,289.883,483.51,370.904,295.791,295.147,272.967,472.652,291.963
2016-01-01,237.652,248.353,241.558,259.958,185.235,244.955,145.376,124.999,146.706,144.638,357.414,241.313,952.536,306.082,283.714,291.7,290.694,485.346,370.911,297.361,295.589,273.097,473.661,289.611
2016-02-01,237.336,248.606,241.741,260.319,176.401,245.51,145.674,125.898,147.374,143.979,361.435,241.92,951.247,306.819,284.502,292.617,291.45,487.562,372.091,298.942,295.617,273.072,475.028,286.419
2016-03-01,238.08,248.029,240.414,260.883,182.234,245.913,145.598,125.843,147.443,143.659,362.386,241.843,953.512,307.538,285.122,293.471,292.144,488.298,372.672,298.78,296.485,273.98,477.404,286.501
2016-04-01,238.992,248.235,240.341,261.517,186.713,246.551,145.787,125.782,147.213,145.475,363.843,242.064,952.185,308.451,285.853,294.397,293.006,489.828,372.961,299.199,298.876,274.864,483.332,291.228
2016-05-01,239.557,247.856,239.348,262.074,188.596,247.137,145.814,126.707,147.175,146.416,361.866,242.41,953.769,309.421,286.855,295.371,294.009,492.258,376.263,301.02,299.736,275.331,486.626,288.805
2016-06-01,240.222,247.683,238.763,262.529,192.899,247.54,145.452,126.276,147.046,144.887,364.501,242.509,962.838,310.354,287.819,296.306,294.913,493.458,377.678,301.408,300.527,275.563,488.639,290.014
2016-07-01,240.101,247.658,238.38,263.051,189.046,247.829,145.175,125.881,147.303,143.27,366.784,242.651,962.63,310.99,288.524,297.192,295.753,495.805,380.083,302.696,300.422,276.058,490.851,280.88
2016-08-01,240.545,247.746,238.133,263.649,188.772,248.423,145.296,126.148,147.335,142.803,372.106,242.522,969.004,311.824,289.367,298.029,296.567,500.06,382.156,307.264,300.347,275.923,493.405,278.139
2016-09-01,241.176,247.772,237.88,264.102,192.243,248.842,145.56,125.914,147.482,144.851,374.142,242.903,970.921,312.348,290.369,299.035,297.625,500.384,382.134,307.301,299.937,275.331,495.635,275.578
2016-10-01,241.741,247.812,237.714,264.459,195.979,249.142,145.416,126.521,147.784,142.217,373.792,243.347,973.535,312.98,291.378,300.215,298.494,500.424,381.406,307.943,300.301,275.645,498.576,270.9
2016-11-01,242.026,247.741,237.438,264.699,196.372,249.481,144.881,126.605,147.737,139.975,371.54,243.277,975.11,313.848,292.227,301.223,299.459,501.489,384.11,308.063,301.747,277.348,501.868,272.902
